Classifier,Accuracy,Precision,Recall,F1-Score
Random Forest (career level),0.7263333333333334,0.7367445159912368,0.7263333333333334,0.7051337374964313
Neural Network (career level),0.7136666666666667,0.7134160696014779,0.7136666666666667,0.6961136107309821
KNN (career level),0.6843333333333333,0.6847037376051662,0.6843333333333333,0.6609667903792434
Decision Tree (career level),0.6363333333333333,0.6695471013591978,0.6363333333333333,0.6448704721973414
